txn_id,timestamp,sender_account,receiver_account,amount,txn_type,is_fraud,amount_log,hour_of_day,day_of_week,is_weekend,is_night,is_cross_branch,amount_bucket,type_NEFT,type_UPI,type_ATM,type_DEPOSIT,type_IMPS,channel_mobile,channel_internet,is_new_receiver,is_cross_bank_upi,upi_new_recv_risk,receiver_total_recv_count,sender_total_unique_receivers,sender_txn_count_1h,sender_txn_count_24h,sender_avg_amount,sender_std_amount,amount_deviation,sender_unique_receivers_1h,time_since_last_txn_min,hour_velocity_ratio,near_any_threshold,near_50k_threshold,near_100k_threshold,near_1m_threshold,is_round_10k,is_round_1k,high_velocity_1h,high_velocity_24h,rapid_succession,amount_gt_5x_avg,sender_mule_score,sender_in_ring,sender_passthrough_ratio,sender_is_new_account,receiver_mule_score,receiver_in_ring,receiver_unique_senders_total,receiver_is_pure_receiver,receiver_is_suspected_mule,receiver_is_new_account,kyc_risk_flag,cibil_high_txn_flag
TXN_00000000,2026-03-01 01:00:15,C1828508781,C2083117811,10844.33,DEPOSIT,0,9.291489851567047,1,6,1,1,1,2.0,0,0,0,1,0,1,0,1,0,0,1,1,1.0,1.0,10844.33,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.08,0,4,1,0,0,0,0
TXN_00000001,2026-03-01 01:00:22,C422409467,M1273958371,3101.33,UPI,0,8.039908721056939,1,6,1,1,1,1.0,0,1,0,0,0,1,0,1,0,0,1,1,1.0,1.0,3101.33,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.02,0,1,1,0,0,0,0
TXN_00000002,2026-03-01 01:00:26,C52913970,M1059634518,13679.84,UPI,0,9.523751592800195,1,6,1,1,1,2.0,0,1,0,0,0,1,0,1,0,1,1,1,1.0,1.0,13679.84,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.02,0,1,1,0,0,0,0
TXN_00000003,2026-03-01 01:00:34,C997695567,C1282788025,5581.55,IMPS,0,8.627400940234883,1,6,1,1,1,2.0,0,0,0,0,1,1,0,1,0,0,1,1,1.0,1.0,5581.55,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.1,0,5,1,0,0,0,0
TXN_00000004,2026-03-01 01:01:00,C1123559518,C1590550415,220691.42,ATM,0,12.30452524638995,1,6,1,1,1,4.0,0,0,1,0,0,1,0,1,0,0,1,1,1.0,1.0,220691.42,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.2,0,10,1,0,0,0,0
TXN_00000005,2026-03-01 01:01:17,C310212872,C1629911510,106705.8,ATM,0,11.577840165343519,1,6,1,1,1,4.0,0,0,1,0,0,0,1,1,0,0,1,1,1.0,1.0,106705.8,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.1,0,5,1,0,0,0,0
TXN_00000006,2026-03-01 01:02:04,C1334405552,C431687661,1277212.77,NEFT,1,14.060191521161451,1,6,1,1,1,4.0,1,0,0,0,0,1,0,1,0,0,1,1,1.0,1.0,1277212.77,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.06,0,3,1,0,0,0,0
TXN_00000007,2026-03-01 01:02:07,C233519968,M7346738,11261.67,UPI,0,9.329248996142297,1,6,1,1,1,2.0,0,1,0,0,0,0,1,1,1,1,1,1,1.0,1.0,11261.67,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.02,0,1,1,0,0,0,0
TXN_00000008,2026-03-01 01:02:17,C1416097444,M369333979,6226.79,UPI,0,8.736776813695613,1,6,1,1,1,2.0,0,1,0,0,0,1,0,1,1,0,1,1,1.0,1.0,6226.79,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.02,0,1,1,0,0,0,0
TXN_00000009,2026-03-01 01:02:18,C1786040872,M882706486,2092.06,UPI,0,7.646382389020299,1,6,1,1,1,1.0,0,1,0,0,0,0,1,1,1,0,1,1,1.0,1.0,2092.06,1.0,0.0,1.0,9999.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.02,0,1,1,0,0,0,0
